height_m,temperature_K,specific_humidity_kgkg,pressure_hPa,refractivity_N,modified_refractivity_M
0.05,299.46881882205315,0.018474858580270676,1012.3998394481948,386.01861113043503,386.02646113043505
0.2507537688442211,299.251761673398,0.01766838192685632,1012.3766103544697,381.0302762681588,381.06964460986734
0.4515075376884422,299.17704785385166,0.017390782448908376,1012.3533817937264,379.30293525349686,379.37382193691394
0.6522613065326633,299.13255409258414,0.01722546571132503,1012.3301537659528,378.2696608872649,378.3720659123905
0.8530150753768845,299.10150317004127,0.017110095891657774,1012.3069262711366,377.54547841324234,377.6794017800765
1.0537688442211055,299.0780171896962,0.017022833643221436,1012.2836993092657,376.99536967503855,377.16081138358123
1.2545226130653266,299.05935105957553,0.01695347956644865,1012.2604728803277,376.5562322544672,376.7531923047185
1.4552763819095478,299.0440048778306,0.01689646077037127,1012.2372469843106,376.19356777112205,376.42204616308186
1.656030150753769,299.0310722277464,0.016848409460269942,1012.2140216212019,375.88651859805043,376.1465153317188
1.85678391959799,299.0199652166465,0.01680714131869174,1012.1907967909895,375.6215514183003,375.9130664936772
2.0575376884422107,299.010281963165,0.01677116315390751,1012.1675724936613,375.38941180356255,375.71244522064796
2.258291457286432,299.0017363232338,0.016739411796554252,1012.1443487292049,375.1835085661296,375.53806032492355
2.459045226130653,298.99411781988226,0.01671110521865514,1012.1211254976081,374.9989922151833,375.38506231568584
2.6597989949748744,298.98726745450466,0.016685652660291643,1012.0979027988586,374.8321984962761,375.24978693848715
2.8605527638190953,298.98106241602596,0.016662597816451578,1012.0746806329445,374.68029653405046,375.12940331797006
3.0613065326633166,298.9754060393327,0.01664158152754189,1012.0514589998531,374.5410577106493,375.0216828362774
3.2620603015075376,298.97022099606795,0.01662231647976123,1012.0282378995727,374.41269890760407,374.92484237494074
3.4628140703517585,298.9654445491841,0.016604569573372956,1012.0050173320906,374.2937732366333,374.8374350456785
3.66356783919598,298.96102516661557,0.01658814934079315,1011.9817972973949,374.1830920512534,374.7582722020072
3.8643216080402008,298.956920054388,0.016572896780848854,1011.9585777954732,374.079668123601,374.6863666160633
4.065075376884422,298.9530933265196,0.016558678559039773,1011.9353588263133,373.98267348259026,374.6208903167611
4.2658291457286435,298.94951462521203,0.016545381880851726,1011.912140389903,373.8914076210906,374.56114279697
4.466582914572864,298.9461580653888,0.01653291057018533,1011.8889224862302,373.8052731731392,374.5065266907271
4.667336683417085,298.94300141676445,0.01652118203033155,1011.8657051152823,373.72375706249636,374.4565289217928
4.868090452261306,298.94002546248123,0.01651012486098282,1011.8424882770476,373.64641571883374,374.4107059198388
5.068844221105527,298.93721349078214,0.016499676969543048,1011.8192719715134,373.57286335912386,374.36867190183744
5.269597989949749,298.93455088816444,0.016489784059487686,1011.7960561986678,373.50276260744204,374.33008949186416
5.47035175879397,298.9320248108185,0.016480398409594102,1011.7728409584984,373.4358169189104,374.29466214504106
5.671105527638191,298.92962391708727,0.0164714778798921,1011.7496262509931,373.37176441003976,374.26212797787895
5.871859296482412,298.9273381479424,0.016462985096024667,1011.7264120761396,373.3103727959094,374.23225470545714
6.0726130653266335,298.9251585455823,0.016454886775245658,1011.7031984339256,373.25143520612994,374.2048354573862
